# Data format: "%int(ChipTimeUS) %float(CorrectedAccelX),%float(CorrectedAccelY),%float(CorrectedAccelZ)"
2002776 -0.00229,1.02356,0.18571
2007341 -0.01499,1.03060,0.17712
2012152 -0.02148,1.02630,0.18310
2016723 -0.03307,1.01798,0.18227
2021537 -0.04130,1.01706,0.17913
2026107 -0.03927,1.01796,0.18280
2031157 -0.03962,1.01018,0.17992
2035980 -0.02779,1.00737,0.18553
2040549 -0.00864,1.00010,0.19334
2045367 0.00829,1.00139,0.20208
2049931 0.02880,1.00519,0.20831
2054743 0.05181,1.00969,0.21600
2059311 0.07557,1.02341,0.21671
2063876 0.10137,1.03217,0.23172
2068694 0.05784,1.04474,0.23804
2073267 0.05186,1.01393,0.21252
2078088 0.07194,1.05445,0.20957
2082653 0.05332,1.07555,0.21909
2087469 0.04174,1.06651,0.22835
2092037 0.03992,1.06095,0.22496
2096607 0.03929,1.05985,0.21932
2101905 0.03666,1.06240,0.21464
2106474 0.03107,1.05924,0.20216
2111287 0.02336,1.07320,0.19150
2115849 0.01576,1.07928,0.18214
2120661 0.00344,1.09340,0.17521
2125226 -0.00773,1.11855,0.15684
2130045 -0.00793,1.13382,0.15326
2134609 -0.00771,1.16093,0.14662
2139179 -0.00325,1.18015,0.14224
2143996 0.00849,1.18508,0.14113
2148566 0.01325,1.18665,0.13691
2153385 0.02547,1.19113,0.13433
2157948 0.02943,1.18987,0.13579
2162764 0.02377,1.18798,0.13240
2167330 0.02318,1.18037,0.13296
2172372 0.02235,1.16794,0.12964
2177179 0.01203,1.14619,0.12670
2181742 0.01778,1.12491,0.12489
2186553 0.01334,1.10557,0.12386
2191119 0.00072,1.08935,0.11424
2195929 -0.00600,1.08048,0.10526
2200498 -0.02682,1.06244,0.10039
2205068 -0.03950,1.04253,0.09130
2209889 -0.05053,1.01063,0.09264
2214465 -0.06339,0.99993,0.08888
2219287 -0.07649,0.97897,0.08300
2223859 -0.09011,0.97001,0.07751
2228684 -0.09653,0.95358,0.07770
2233260 -0.09972,0.95324,0.07084
2237837 -0.09703,0.96004,0.07371
2242662 -0.09557,0.96347,0.07416
2247721 -0.08669,0.95999,0.07660
2252545 -0.08668,0.94883,0.08236
2257124 -0.08594,0.93148,0.09112
2261945 -0.08077,0.92277,0.10839
2266521 -0.07492,0.90977,0.10896
2271345 -0.07511,0.90315,0.12034
2275919 -0.07215,0.89801,0.13119
2280493 -0.06987,0.89299,0.13663
2285315 -0.06667,0.89347,0.13710
2289887 -0.06791,0.89542,0.13758
2294706 -0.07182,0.90084,0.13608
2299280 -0.08308,0.90627,0.13414
2304103 -0.08771,0.91247,0.13067
2308678 -0.08430,0.91300,0.13999
2313252 -0.08083,0.90153,0.14893
2318553 -0.07210,0.89610,0.15089
2323128 -0.06965,0.88724,0.15292
2327952 -0.06572,0.88130,0.15541
2332526 -0.06478,0.88079,0.15639
2337344 -0.06350,0.88287,0.16227
2341916 -0.05890,0.89885,0.15988
2346487 -0.06781,0.91901,0.15705
2351309 -0.07662,0.93169,0.14863
2355884 -0.08650,0.94779,0.14043
2360708 -0.09636,0.95284,0.13331
2365286 -0.10051,0.95361,0.12054
2370116 -0.10468,0.95465,0.11809
2374697 -0.10784,0.95847,0.12226
2379281 -0.11621,0.96625,0.11413
2384110 -0.12989,0.97474,0.10626
2389172 -0.13500,0.97602,0.10382
2393999 -0.14100,0.97651,0.10361
2398579 -0.14285,0.97707,0.10042
2403406 -0.13615,0.97067,0.10191
2407983 -0.13977,0.96951,0.09899
2412811 -0.14199,0.96776,0.10025
2417389 -0.13995,0.96313,0.09905
2421966 -0.13739,0.96234,0.10175
2426794 -0.12710,0.94221,0.10359
2431372 -0.11831,0.93012,0.10757
2436197 -0.11411,0.91815,0.10593
2440776 -0.10936,0.91447,0.10594
2445602 -0.10566,0.90857,0.10695
2450175 -0.08353,0.88574,0.10923
2454742 -0.08057,0.86504,0.11432
2460037 -0.07859,0.86159,0.11532
2464603 -0.07839,0.86783,0.11034
2469424 -0.08892,0.88275,0.11126
2474002 -0.09554,0.89270,0.10457
2478825 -0.10027,0.89564,0.10433
2483399 -0.10334,0.89755,0.10679
2487975 -0.10770,0.88674,0.10790
2492802 -0.11337,0.89012,0.10987
2497379 -0.11679,0.91622,0.10425
2502205 -0.11801,0.92836,0.10956
2506780 -0.11406,0.92740,0.10856
2511605 -0.10312,0.91334,0.11304
2516178 -0.09839,0.91535,0.12210
2520753 -0.09716,0.91333,0.12457
2525573 -0.09777,0.91673,0.12626
2530625 -0.08955,0.91248,0.13019
2535443 -0.08486,0.91015,0.13608
2540010 -0.07783,0.89644,0.13567
2544827 -0.07132,0.88921,0.14135
2549396 -0.06587,0.88520,0.14554
2554214 -0.06163,0.88273,0.14627
2558781 -0.06233,0.88831,0.14893
2563350 -0.04974,0.88926,0.15081
2568167 -0.05321,0.88973,0.15132
2572732 -0.04837,0.88955,0.14883
2577548 -0.04231,0.89262,0.15418
2582114 -0.03792,0.89746,0.15706
2586929 -0.04160,0.90793,0.15994
2591494 -0.03656,0.91347,0.16478
2596059 -0.03405,0.91942,0.16176
