# Data format: "%int(ChipTimeUS) %float(CorrectedAccelX),%float(CorrectedAccelY),%float(CorrectedAccelZ)"
231113104 0.94271,0.13891,-0.01235
231117690 0.93913,0.17413,-0.02027
231122272 0.94862,0.16218,-0.02268
231127103 0.95999,0.13790,-0.01048
231131686 0.95764,0.13912,-0.01023
231136517 0.95107,0.15852,-0.02316
231141100 0.93753,0.15800,-0.02208
231145932 0.94072,0.15828,-0.01251
231150517 0.94088,0.15440,-0.00337
231155353 0.93176,0.15775,0.00010
231160418 0.93158,0.16176,0.00720
231165003 0.93228,0.16105,0.01680
231169837 0.91531,0.16042,0.01150
231174418 0.93082,0.16899,0.00124
231179249 0.92713,0.16380,0.00327
231183837 0.93537,0.17006,-0.00249
231188670 0.92756,0.16445,0.00720
231193254 0.91896,0.16682,-0.00064
231197836 0.91534,0.17108,-0.00484
231202672 0.92057,0.17240,-0.00882
231207254 0.92633,0.16653,0.00178
231212086 0.94925,0.15729,-0.00074
231216673 0.92987,0.16438,-0.00069
231221509 0.91886,0.19099,-0.01832
231226578 0.92851,0.17491,-0.01135
231231410 0.93418,0.16008,0.00548
231235993 0.93782,0.16604,0.01327
231240577 0.92475,0.17612,0.01130
231245410 0.93080,0.16855,0.02117
231249990 0.93505,0.16572,0.02732
231254825 0.93127,0.15772,0.02348
231259411 0.93031,0.16377,0.02687
231264243 0.92324,0.16257,0.02545
231268818 0.91763,0.15933,0.02798
231273398 0.92186,0.14642,0.03520
231278226 0.93132,0.14006,0.03520
231282804 0.93565,0.15154,0.03704
231287629 0.93110,0.15611,0.02964
231292207 0.93398,0.15354,0.02424
231297515 0.94351,0.15082,0.02543
231302091 0.93961,0.14536,0.02870
231306670 0.92389,0.15322,0.01594
231311500 0.92184,0.18554,-0.00452
231316079 0.92492,0.16701,0.00227
231320905 0.94337,0.14414,0.00605
231325481 0.94588,0.13919,0.00830
231330307 0.92463,0.16349,-0.00483
231334894 0.90120,0.17912,-0.00334
231339477 0.89815,0.16465,-0.00295
231344306 0.89269,0.15754,0.00822
231348885 0.91438,0.16117,-0.00007
231353716 0.91901,0.16588,-0.00235
231358296 0.91866,0.17361,0.00275
231363604 0.92829,0.15796,0.01242
231368184 0.94273,0.16406,0.01424
231373006 0.94771,0.16589,0.00928
231377583 0.94313,0.16581,0.00168
231382163 0.94344,0.16958,-0.00254
231386992 0.94352,0.16258,-0.00740
231391575 0.94607,0.16204,-0.00544
231396409 0.94760,0.15290,-0.00192
231400994 0.93648,0.16058,-0.00586
231405831 0.93180,0.16801,-0.00983
231410416 0.93282,0.16548,-0.00588
231415006 0.93207,0.15654,-0.01170
231419848 0.92346,0.16403,-0.00728
231424432 0.93877,0.17142,-0.00843
