# Data format: "%int(Month)/%int(Day)/%int(Year) %int(Hours):%int(Minutes):%float(Seconds) %float(CorrectedAccelX),%float(CorrectedAccelY),%float(CorrectedAccelZ)"
03/27/20 20:05:27.112633 0.00269,0.96143,0.20557
03/27/20 20:05:27.121952 0.00195,0.95361,0.20508
03/27/20 20:05:27.131254 -0.00049,0.95996,0.20020
03/27/20 20:05:27.140583 -0.01440,0.96191,0.20410
03/27/20 20:05:27.149910 -0.02393,0.95947,0.20093
03/27/20 20:05:27.159239 -0.01758,0.95215,0.20410
03/27/20 20:05:27.168312 -0.00732,0.95044,0.20508
03/27/20 20:05:27.173668 -0.00781,0.93750,0.20654
03/27/20 20:05:27.182995 0.00049,0.93213,0.20898
03/27/20 20:05:27.192324 -0.00879,0.93018,0.21191
03/27/20 20:05:27.201406 -0.02759,0.92847,0.21387
03/27/20 20:05:27.210743 -0.04297,0.94043,0.21289
03/27/20 20:05:27.220076 -0.04736,0.95605,0.21094
03/27/20 20:05:27.229401 -0.04858,0.96899,0.20996
03/27/20 20:05:27.238724 -0.04443,0.98242,0.20410
03/27/20 20:05:27.248051 -0.04541,1.00098,0.22021
03/27/20 20:05:27.257364 -0.04761,0.99585,0.21875
03/27/20 20:05:27.267170 -0.03955,1.01318,0.21094
03/27/20 20:05:27.276251 -0.04248,1.01563,0.21460
03/27/20 20:05:27.285593 -0.04736,0.99438,0.21533
03/27/20 20:05:27.294931 -0.05005,0.98413,0.22656
03/27/20 20:05:27.304264 -0.07251,0.96680,0.22461
03/27/20 20:05:27.313601 -0.08716,0.96338,0.22998
03/27/20 20:05:27.322931 -0.10278,0.97217,0.23584
03/27/20 20:05:27.332010 -0.10254,0.97046,0.23584
03/27/20 20:05:27.341330 -0.09058,0.96094,0.24170
03/27/20 20:05:27.350655 -0.07349,0.94824,0.23877
03/27/20 20:05:27.356005 -0.06104,0.94800,0.23584
03/27/20 20:05:27.365328 -0.04932,0.95239,0.22949
03/27/20 20:05:27.374397 -0.04443,0.95190,0.21582
