# Data format: "%int(Month)/%int(Day)/%int(Year) %int(Hours):%int(Minutes):%float(Seconds) %float(CorrectedAccelX),%float(CorrectedAccelY),%float(CorrectedAccelZ)"
03/24/20 16:47:33.171803 0.70654,0.52930,0.36060
03/24/20 16:47:33.181164 0.71362,0.52563,0.37354
03/24/20 16:47:33.190517 0.70801,0.56738,0.38818
03/24/20 16:47:33.199879 0.73364,0.56641,0.38184
03/24/20 16:47:33.209236 0.71533,0.52490,0.36816
03/24/20 16:47:33.218601 0.70190,0.51416,0.38721
03/24/20 16:47:33.227715 0.68164,0.50586,0.40820
03/24/20 16:47:33.233086 0.67212,0.49072,0.41943
03/24/20 16:47:33.242447 0.66943,0.48242,0.43115
03/24/20 16:47:33.251820 0.67383,0.49146,0.42529
03/24/20 16:47:33.260937 0.68506,0.51660,0.40479
03/24/20 16:47:33.270298 0.71143,0.56128,0.38232
03/24/20 16:47:33.279652 0.71753,0.57202,0.37354
03/24/20 16:47:33.289017 0.76563,0.60010,0.36279
03/24/20 16:47:33.298378 0.74658,0.57568,0.33667
03/24/20 16:47:33.307739 0.73633,0.53687,0.33740
03/24/20 16:47:33.317097 0.71362,0.54834,0.36670
03/24/20 16:47:33.326939 0.67993,0.54639,0.39355
03/24/20 16:47:33.336048 0.67725,0.53809,0.40674
03/24/20 16:47:33.345402 0.65381,0.53882,0.43872
03/24/20 16:47:33.354759 0.64722,0.53540,0.44629
03/24/20 16:47:33.364120 0.64551,0.51147,0.43115
03/24/20 16:47:33.373489 0.65552,0.52954,0.40869
03/24/20 16:47:33.382858 0.69995,0.54883,0.37646
03/24/20 16:47:33.392216 0.72119,0.56299,0.35522
03/24/20 16:47:33.401329 0.71191,0.59399,0.37378
03/24/20 16:47:33.410687 0.72070,0.62939,0.35376
03/24/20 16:47:33.416058 0.72461,0.61719,0.34277
03/24/20 16:47:33.425411 0.70093,0.60254,0.35840
03/24/20 16:47:33.434525 0.67798,0.57007,0.38525
03/24/20 16:47:33.443890 0.66211,0.54736,0.39258
03/24/20 16:47:33.453262 0.63379,0.51880,0.40869
03/24/20 16:47:33.462631 0.60254,0.51709,0.41553
03/24/20 16:47:33.472008 0.58203,0.51465,0.41602
03/24/20 16:47:33.481373 0.57471,0.54248,0.40625
03/24/20 16:47:33.490742 0.58301,0.55786,0.39307
03/24/20 16:47:33.499859 0.58887,0.58496,0.36865
03/24/20 16:47:33.509224 0.62964,0.68213,0.33691
03/24/20 16:47:33.514591 0.62598,0.63965,0.33960
03/24/20 16:47:33.523960 0.56494,0.53857,0.28052
03/24/20 16:47:33.533314 0.54932,0.43140,0.27515
03/24/20 16:47:33.542431 0.45776,0.35474,0.33862
03/24/20 16:47:33.551785 0.33789,0.35522,0.33887
03/24/20 16:47:33.561146 0.28516,0.43994,0.32031
03/24/20 16:47:33.570499 0.34033,0.59790,0.15771
03/24/20 16:47:33.579868 0.47754,0.58667,-0.01270
03/24/20 16:47:33.589230 0.41553,0.71948,-0.11353
03/24/20 16:47:33.598595 0.44019,0.80078,-0.08350
03/24/20 16:47:33.608192 0.44263,0.75098,-0.04688
03/24/20 16:47:33.617546 0.43457,0.46826,-0.10181
03/24/20 16:47:33.626892 0.34302,0.24683,-0.13379
03/24/20 16:47:33.636223 0.16846,0.31738,-0.05127
03/24/20 16:47:33.645561 -0.10986,0.40820,0.00195
03/24/20 16:47:33.654903 -0.26465,0.41675,-0.08789
03/24/20 16:47:33.664249 -0.29346,0.49268,-0.16284
03/24/20 16:47:33.673355 -0.06079,0.81006,-0.25757
03/24/20 16:47:33.682693 0.25391,0.96143,-0.29980
03/24/20 16:47:33.692013 0.42212,0.82007,-0.16992
03/24/20 16:47:33.697373 0.39380,0.68115,-0.07617
03/24/20 16:47:33.706455 0.39819,0.33203,0.08179
03/24/20 16:47:33.715771 0.12451,0.29956,0.20142
03/24/20 16:47:33.725109 -0.05811,0.51343,0.24829
03/24/20 16:47:33.734455 -0.01001,0.73511,0.23218
03/24/20 16:47:33.743793 -0.04077,0.84106,0.23071
03/24/20 16:47:33.753140 -0.11816,0.90723,0.25049
03/24/20 16:47:33.762486 -0.06787,0.85034,0.19775
03/24/20 16:47:33.771572 0.00952,0.88135,0.14331
03/24/20 16:47:33.780895 0.03857,0.96460,0.10645
03/24/20 16:47:33.786247 0.04077,1.01709,0.10352
