# Data format: "%int(Month)/%int(Day)/%int(Year) %int(Hours):%int(Minutes):%float(Seconds) %float(OrientQuatX),%float(OrientQuatY),%float(OrientQuatZ),%float(OrientQuatW) %float(CorrectedAccelX),%float(CorrectedAccelY),%float(CorrectedAccelZ)"
03/10/20 14:40:39.718372 0.26081,-0.45946,-0.20773,-0.82324 0.10666,0.83294,0.44138
03/10/20 14:40:39.727818 0.25999,-0.45650,-0.20855,-0.82493 0.08567,0.81419,0.42421
03/10/20 14:40:39.737259 0.25925,-0.45357,-0.20898,-0.82667 0.06982,0.80836,0.43224
03/10/20 14:40:39.746689 0.25784,-0.45061,-0.20949,-0.82860 0.06997,0.83671,0.43592
03/10/20 14:40:39.756615 0.25499,-0.44785,-0.21114,-0.83056 0.07477,0.87408,0.44170
03/10/20 14:40:39.766071 0.25242,-0.44537,-0.21229,-0.83239 0.08329,0.90091,0.42566
03/10/20 14:40:39.775276 0.25089,-0.44235,-0.21168,-0.83461 0.11032,0.93475,0.42592
03/10/20 14:40:39.784725 0.24947,-0.43916,-0.21074,-0.83695 0.13582,0.94607,0.41336
03/10/20 14:40:39.794186 0.24813,-0.43593,-0.20959,-0.83932 0.13677,0.95131,0.39805
03/10/20 14:40:39.803638 0.24682,-0.43276,-0.20851,-0.84162 0.12661,0.94177,0.39722
03/10/20 14:40:39.813568 0.24550,-0.42955,-0.20764,-0.84386 0.12685,0.93648,0.39234
03/10/20 14:40:39.823010 0.24405,-0.42651,-0.20738,-0.84589 0.10667,0.92995,0.39917
03/10/20 14:40:39.832459 0.24217,-0.42391,-0.20818,-0.84753 0.09724,0.91450,0.38781
03/10/20 14:40:39.841911 0.24024,-0.42162,-0.20956,-0.84889 0.09526,0.87083,0.36779
03/10/20 14:40:39.851109 0.23946,-0.41830,-0.21003,-0.85063 0.08194,0.85020,0.34740
03/10/20 14:40:39.860538 0.23853,-0.41493,-0.21070,-0.85238 0.05848,0.85185,0.31628
03/10/20 14:40:39.870457 0.23726,-0.41120,-0.21170,-0.85428 0.09694,0.84437,0.32300
03/10/20 14:40:39.879894 0.23568,-0.40752,-0.21308,-0.85614 0.13336,0.86253,0.33441
03/10/20 14:40:39.889332 0.23211,-0.40483,-0.21442,-0.85805 0.15298,0.88679,0.34588
03/10/20 14:40:39.898762 0.22848,-0.40209,-0.21601,-0.85992 0.17394,0.90069,0.37219
03/10/20 14:40:39.908211 0.22561,-0.39891,-0.21792,-0.86167 0.19775,0.91741,0.40338
03/10/20 14:40:39.917404 0.22364,-0.39518,-0.21995,-0.86339 0.21255,0.91405,0.43383
03/10/20 14:40:39.927330 0.22114,-0.39221,-0.22131,-0.86504 0.21651,0.88085,0.43927
03/10/20 14:40:39.936768 0.21852,-0.39030,-0.22175,-0.86646 0.20237,0.87905,0.42067
03/10/20 14:40:39.946224 0.21613,-0.38855,-0.22147,-0.86791 0.19014,0.87534,0.41070
03/10/20 14:40:39.955681 0.21403,-0.38629,-0.22074,-0.86962 0.19553,0.91533,0.40883
03/10/20 14:40:39.965138 0.21219,-0.38324,-0.21984,-0.87165 0.22112,0.95541,0.42577
03/10/20 14:40:39.974587 0.21029,-0.38004,-0.21873,-0.87379 0.23528,0.98904,0.43498
03/10/20 14:40:39.984520 0.20851,-0.37668,-0.21754,-0.87597 0.26287,0.99384,0.44017
03/10/20 14:40:39.993729 0.20708,-0.37356,-0.21643,-0.87791 0.26826,0.98088,0.43927
03/10/20 14:40:40.003181 0.20585,-0.37054,-0.21535,-0.87974 0.28046,0.96992,0.43658
03/10/20 14:40:40.012623 0.20474,-0.36767,-0.21429,-0.88146 0.26226,0.97104,0.42955
03/10/20 14:40:40.022068 0.20383,-0.36489,-0.21339,-0.88305 0.26589,0.96692,0.42760
03/10/20 14:40:40.031521 0.20306,-0.36215,-0.21275,-0.88451 0.26971,0.96433,0.41185
03/10/20 14:40:40.041451 0.20246,-0.35944,-0.21257,-0.88579 0.27445,0.96134,0.40324
03/10/20 14:40:40.050900 0.20205,-0.35685,-0.21287,-0.88686 0.28849,0.95007,0.40325
03/10/20 14:40:40.060356 0.20173,-0.35432,-0.21356,-0.88778 0.30979,0.92535,0.40235
03/10/20 14:40:40.069561 0.20137,-0.35192,-0.21460,-0.88857 0.31977,0.90174,0.40644
03/10/20 14:40:40.079018 0.20088,-0.34966,-0.21587,-0.88926 0.32555,0.89010,0.41217
03/10/20 14:40:40.088467 0.20022,-0.34763,-0.21705,-0.88992 0.32013,0.89306,0.41119
03/10/20 14:40:40.098400 0.19953,-0.34566,-0.21789,-0.89064 0.31324,0.89302,0.41271
03/10/20 14:40:40.107857 0.19892,-0.34395,-0.21829,-0.89133 0.32782,0.89592,0.41505
03/10/20 14:40:40.117313 0.19831,-0.34246,-0.21847,-0.89200 0.31905,0.89160,0.41072
03/10/20 14:40:40.126759 0.19772,-0.34118,-0.21844,-0.89263 0.31036,0.90117,0.40970
03/10/20 14:40:40.136219 0.19691,-0.34002,-0.21866,-0.89320 0.29900,0.88764,0.41186
03/10/20 14:40:40.145428 0.19559,-0.33881,-0.21951,-0.89374 0.29375,0.88163,0.40654
03/10/20 14:40:40.155365 0.19248,-0.33725,-0.22227,-0.89432 0.27532,0.87209,0.40477
03/10/20 14:40:40.164822 0.18985,-0.33622,-0.22442,-0.89473 0.27460,0.87794,0.40645
03/10/20 14:40:40.174290 0.18838,-0.33573,-0.22514,-0.89505 0.27369,0.88842,0.40907
03/10/20 14:40:40.183750 0.18739,-0.33557,-0.22529,-0.89528 0.27324,0.88816,0.40956
03/10/20 14:40:40.193222 0.18579,-0.33545,-0.22633,-0.89539 0.25857,0.88162,0.41660
03/10/20 14:40:40.202679 0.18404,-0.33551,-0.22749,-0.89544 0.23397,0.88140,0.42586
03/10/20 14:40:40.212627 0.18247,-0.33577,-0.22832,-0.89545 0.22695,0.87323,0.44074
03/10/20 14:40:40.221844 0.18141,-0.33621,-0.22853,-0.89545 0.21852,0.88743,0.44092
03/10/20 14:40:40.231312 0.18094,-0.33692,-0.22795,-0.89542 0.23980,0.92343,0.38756
03/10/20 14:40:40.240768 0.18058,-0.33747,-0.22766,-0.89536 0.15721,0.88598,0.44919
03/10/20 14:40:40.250237 0.18070,-0.33795,-0.22731,-0.89525 0.18066,0.90217,0.43832
03/10/20 14:40:40.259705 0.18081,-0.33875,-0.22691,-0.89502 0.17681,0.92819,0.41424
03/10/20 14:40:40.269650 0.18109,-0.33957,-0.22682,-0.89468 0.16757,0.90737,0.43565
03/10/20 14:40:40.279102 0.18144,-0.34032,-0.22699,-0.89428 0.17395,0.92018,0.41040
03/10/20 14:40:40.288563 0.18177,-0.34116,-0.22727,-0.89382 0.18386,0.91395,0.41531
03/10/20 14:40:40.297775 0.18215,-0.34200,-0.22760,-0.89334 0.19177,0.90619,0.42320
03/10/20 14:40:40.307236 0.18261,-0.34315,-0.22773,-0.89277 0.18860,0.92671,0.41517
03/10/20 14:40:40.316681 0.18289,-0.34411,-0.22786,-0.89231 0.17743,0.90350,0.41151
03/10/20 14:40:40.326622 0.18320,-0.34491,-0.22790,-0.89193 0.15901,0.89427,0.39596
03/10/20 14:40:40.336079 0.18342,-0.34566,-0.22771,-0.89164 0.14618,0.89881,0.38961
03/10/20 14:40:40.345543 0.18353,-0.34642,-0.22739,-0.89141 0.13820,0.89744,0.38475
03/10/20 14:40:40.354996 0.18359,-0.34726,-0.22703,-0.89116 0.13883,0.90979,0.38045
03/10/20 14:40:40.364464 0.18370,-0.34821,-0.22669,-0.89085 0.15440,0.92708,0.37503
03/10/20 14:40:40.373676 0.18415,-0.34965,-0.22623,-0.89031 0.17075,0.93724,0.37041
03/10/20 14:40:40.383617 0.18474,-0.35121,-0.22569,-0.88971 0.16850,0.93586,0.37757
03/10/20 14:40:40.393070 0.18487,-0.35218,-0.22529,-0.88940 0.16723,0.92301,0.37105
03/10/20 14:40:40.402534 0.18482,-0.35295,-0.22495,-0.88919 0.17387,0.91815,0.36957
03/10/20 14:40:40.411995 0.18482,-0.35369,-0.22470,-0.88896 0.17769,0.90409,0.37361
03/10/20 14:40:40.421455 0.18483,-0.35453,-0.22447,-0.88868 0.19177,0.88607,0.39091
03/10/20 14:40:40.430904 0.18479,-0.35546,-0.22423,-0.88838 0.19870,0.89029,0.39968
03/10/20 14:40:40.440842 0.18468,-0.35668,-0.22395,-0.88799 0.19459,0.88991,0.39479
03/10/20 14:40:40.450054 0.18454,-0.35789,-0.22375,-0.88758 0.18502,0.86143,0.39659
03/10/20 14:40:40.459511 0.18438,-0.35915,-0.22370,-0.88711 0.18719,0.85881,0.40447
03/10/20 14:40:40.468960 0.18405,-0.36053,-0.22387,-0.88658 0.18163,0.89174,0.40002
03/10/20 14:40:40.478413 0.18366,-0.36198,-0.22427,-0.88597 0.18649,0.89600,0.40734
03/10/20 14:40:40.487873 0.18345,-0.36367,-0.22474,-0.88520 0.20037,0.90410,0.41825
03/10/20 14:40:40.497818 0.18352,-0.36613,-0.22525,-0.88404 0.22379,0.91553,0.41160
03/10/20 14:40:40.507271 0.18356,-0.36867,-0.22578,-0.88284 0.24844,0.95149,0.40448
03/10/20 14:40:40.516731 0.18361,-0.37146,-0.22630,-0.88153 0.23775,0.95470,0.39197
03/10/20 14:40:40.525951 0.18379,-0.37446,-0.22667,-0.88012 0.21993,0.95219,0.39407
03/10/20 14:40:40.535412 0.18396,-0.37755,-0.22684,-0.87872 0.21200,0.98179,0.38524
03/10/20 14:40:40.544861 0.18419,-0.38065,-0.22690,-0.87732 0.20584,0.98029,0.39735
03/10/20 14:40:40.554794 0.18455,-0.38395,-0.22681,-0.87583 0.19818,0.97652,0.40162
03/10/20 14:40:40.564247 0.18480,-0.38717,-0.22643,-0.87446 0.18927,0.98603,0.40356
03/10/20 14:40:40.573700 0.18506,-0.39065,-0.22585,-0.87301 0.18303,1.00781,0.40488
03/10/20 14:40:40.583145 0.18550,-0.39429,-0.22528,-0.87142 0.16098,1.01343,0.39389
03/10/20 14:40:40.592602 0.18615,-0.39803,-0.22474,-0.86972 0.13777,1.01336,0.39601
03/10/20 14:40:40.601811 0.18691,-0.40181,-0.22432,-0.86793 0.12734,1.02563,0.40605
03/10/20 14:40:40.611748 0.18781,-0.40576,-0.22417,-0.86593 0.12461,1.03035,0.40332
03/10/20 14:40:40.621201 0.18887,-0.40942,-0.22439,-0.86392 0.12921,1.02011,0.39010
03/10/20 14:40:40.630657 0.19008,-0.41297,-0.22494,-0.86182 0.14172,1.00774,0.37340
03/10/20 14:40:40.640118 0.19132,-0.41628,-0.22583,-0.85972 0.14359,0.98045,0.37732
03/10/20 14:40:40.649574 0.19261,-0.41948,-0.22702,-0.85756 0.14871,0.95762,0.37897
03/10/20 14:40:40.659019 0.19377,-0.42257,-0.22851,-0.85538 0.17324,0.93725,0.39204
03/10/20 14:40:40.668957 0.19309,-0.42469,-0.23036,-0.85399 0.17846,0.90119,0.40488
03/10/20 14:40:40.678166 0.19149,-0.42624,-0.23222,-0.85307 0.19123,0.86048,0.41747
03/10/20 14:40:40.687618 0.19082,-0.42859,-0.23402,-0.85155 0.19796,0.83275,0.40832
03/10/20 14:40:40.697063 0.19156,-0.43212,-0.23574,-0.84912 0.20834,0.81529,0.42219
03/10/20 14:40:40.706520 0.19231,-0.43612,-0.23726,-0.84648 0.21100,0.81789,0.41551
03/10/20 14:40:40.715977 0.19288,-0.44041,-0.23848,-0.84378 0.20310,0.82542,0.40762
03/10/20 14:40:40.725914 0.19258,-0.44566,-0.23962,-0.84077 0.18705,0.86212,0.39853
03/10/20 14:40:40.735359 0.19229,-0.45078,-0.24041,-0.83787 0.15597,0.87925,0.39882
03/10/20 14:40:40.744568 0.19208,-0.45591,-0.24107,-0.83495 0.13353,0.87768,0.39185
03/10/20 14:40:40.754025 0.19180,-0.46090,-0.24182,-0.83205 0.11932,0.87697,0.38997
03/10/20 14:40:40.763477 0.19141,-0.46578,-0.24260,-0.82919 0.13149,0.90370,0.38966
03/10/20 14:40:40.772923 0.19110,-0.47055,-0.24338,-0.82633 0.14929,0.88474,0.40546
03/10/20 14:40:40.782852 0.19107,-0.47572,-0.24425,-0.82312 0.16712,0.88684,0.41074
03/10/20 14:40:40.792294 0.19103,-0.48081,-0.24504,-0.81993 0.16146,0.89536,0.41316
03/10/20 14:40:40.801743 0.19115,-0.48634,-0.24587,-0.81639 0.15495,0.90272,0.40157
03/10/20 14:40:40.811176 0.19133,-0.49201,-0.24664,-0.81270 0.14331,0.90700,0.38488
03/10/20 14:40:40.820377 0.19154,-0.49776,-0.24734,-0.80893 0.13855,0.91612,0.38261
03/10/20 14:40:40.829826 0.19181,-0.50355,-0.24805,-0.80506 0.11962,0.91262,0.38522
03/10/20 14:40:40.839756 0.19234,-0.50963,-0.24869,-0.80090 0.11336,0.89791,0.38490
03/10/20 14:40:40.849175 0.19281,-0.51535,-0.24899,-0.79702 0.11310,0.88803,0.38844
03/10/20 14:40:40.858608 0.19330,-0.52112,-0.24893,-0.79316 0.09856,0.87936,0.36991
03/10/20 14:40:40.868050 0.19423,-0.52669,-0.24890,-0.78925 0.06837,0.87178,0.34606
03/10/20 14:40:40.877495 0.19529,-0.53234,-0.24903,-0.78515 0.07801,0.87211,0.34280
03/10/20 14:40:40.886925 0.19541,-0.53840,-0.24835,-0.78119 0.12849,0.88979,0.34256
03/10/20 14:40:40.896587 0.19552,-0.54501,-0.24776,-0.77676 0.10962,0.89049,0.34366
03/10/20 14:40:40.906029 0.19563,-0.55154,-0.24708,-0.77232 0.10935,0.90220,0.33519
03/10/20 14:40:40.915474 0.19572,-0.55816,-0.24625,-0.76780 0.08713,0.91082,0.34362
03/10/20 14:40:40.924904 0.19594,-0.56456,-0.24537,-0.76333 0.05986,0.91346,0.36739
03/10/20 14:40:40.934341 0.19619,-0.57075,-0.24454,-0.75891 0.07279,0.91188,0.37273
03/10/20 14:40:40.943771 0.19638,-0.57670,-0.24376,-0.75461 0.08503,0.92141,0.36347
03/10/20 14:40:40.953678 0.19664,-0.58312,-0.24276,-0.74991 0.08116,0.94227,0.35075
03/10/20 14:40:40.963089 0.19710,-0.58913,-0.24173,-0.74542 0.06722,0.95664,0.34358
03/10/20 14:40:40.972263 0.19787,-0.59487,-0.24114,-0.74083 0.04632,0.97223,0.34726
03/10/20 14:40:40.981693 0.19861,-0.60064,-0.24075,-0.73608 0.02196,0.97226,0.34496
03/10/20 14:40:40.991138 0.19915,-0.60642,-0.24084,-0.73116 0.03014,0.97515,0.32520
03/10/20 14:40:41.000572 0.19964,-0.61234,-0.24103,-0.72601 0.00682,0.96151,0.33186
03/10/20 14:40:41.010509 0.20004,-0.61917,-0.23961,-0.72056 -0.02202,0.93124,0.35889
03/10/20 14:40:41.019962 0.20049,-0.62533,-0.23817,-0.71557 -0.04514,0.92825,0.38244
03/10/20 14:40:41.029411 0.20098,-0.63147,-0.23683,-0.71047 -0.04952,0.93983,0.36858
03/10/20 14:40:41.038857 0.20167,-0.63752,-0.23517,-0.70540 -0.04725,0.93587,0.34818
03/10/20 14:40:41.048046 0.20243,-0.64333,-0.23357,-0.70042 -0.03630,0.94306,0.34485
03/10/20 14:40:41.057495 0.20321,-0.64908,-0.23207,-0.69537 -0.05481,0.94600,0.34420
03/10/20 14:40:41.067425 0.20354,-0.65490,-0.23230,-0.68973 -0.06016,0.95793,0.34782
03/10/20 14:40:41.076885 0.20362,-0.66026,-0.23333,-0.68422 -0.05969,0.95209,0.35697
03/10/20 14:40:41.086311 0.20383,-0.66533,-0.23424,-0.67891 -0.06924,0.93784,0.39161
03/10/20 14:40:41.095745 0.20483,-0.67048,-0.23354,-0.67376 -0.09133,0.92225,0.39779
03/10/20 14:40:41.105160 0.20608,-0.67541,-0.23227,-0.66888 -0.03946,0.90199,0.41782
03/10/20 14:40:41.114338 0.20697,-0.68051,-0.23187,-0.66355 -0.07092,0.93477,0.37491
03/10/20 14:40:41.124241 0.20768,-0.68600,-0.23191,-0.65764 -0.07047,0.96312,0.33431
03/10/20 14:40:41.133678 0.20868,-0.69123,-0.23069,-0.65225 -0.09755,0.95227,0.31440
03/10/20 14:40:41.143112 0.21087,-0.69625,-0.22741,-0.64735 -0.11589,0.91430,0.31289
03/10/20 14:40:41.152542 0.21188,-0.70111,-0.22815,-0.64148 -0.16622,0.85048,0.31575
03/10/20 14:40:41.161972 0.21260,-0.70592,-0.22908,-0.63561 -0.19056,0.83399,0.31852
03/10/20 14:40:41.171406 0.21459,-0.71049,-0.22714,-0.63052 -0.20108,0.88016,0.32481
03/10/20 14:40:41.181305 0.21643,-0.71493,-0.22434,-0.62586 -0.17461,0.91574,0.34597
03/10/20 14:40:41.190483 0.21569,-0.71953,-0.22570,-0.62034 -0.17151,0.94970,0.36213
03/10/20 14:40:41.199902 0.21483,-0.72390,-0.22753,-0.61485 -0.15708,0.95000,0.38197
03/10/20 14:40:41.209324 0.21612,-0.72733,-0.22633,-0.61078 -0.08702,0.87042,0.40291
03/10/20 14:40:41.218735 0.21647,-0.73086,-0.22707,-0.60616 -0.07822,0.83131,0.40984
03/10/20 14:40:41.228157 0.21596,-0.73484,-0.22927,-0.60068 -0.09468,0.80302,0.40282
03/10/20 14:40:41.238049 0.21547,-0.73901,-0.23121,-0.59496 -0.08933,0.78563,0.40245
03/10/20 14:40:41.247471 0.21493,-0.74317,-0.23281,-0.58933 -0.12699,0.79069,0.39428
03/10/20 14:40:41.256889 0.21436,-0.74738,-0.23426,-0.58360 -0.14651,0.78469,0.39889
03/10/20 14:40:41.266064 0.21360,-0.75150,-0.23586,-0.57791 -0.13752,0.78308,0.42763
03/10/20 14:40:41.275475 0.21264,-0.75552,-0.23756,-0.57231 -0.14238,0.79980,0.42505
03/10/20 14:40:41.284897 0.21132,-0.75947,-0.23940,-0.56678 -0.09170,0.78627,0.42903
03/10/20 14:40:41.294796 0.20979,-0.76365,-0.24122,-0.56093 -0.10224,0.80124,0.43881
03/10/20 14:40:41.304226 0.20884,-0.76760,-0.24235,-0.55538 -0.10331,0.83174,0.42255
03/10/20 14:40:41.313648 0.20781,-0.77146,-0.24322,-0.55001 -0.10509,0.82498,0.42926
03/10/20 14:40:41.323078 0.20686,-0.77532,-0.24395,-0.54458 -0.08808,0.82451,0.43998
03/10/20 14:40:41.332500 0.20699,-0.77885,-0.24394,-0.53948 -0.08051,0.83525,0.44205
03/10/20 14:40:41.341694 0.20851,-0.78196,-0.24273,-0.53492 -0.09389,0.88478,0.42964
03/10/20 14:40:41.351604 0.20948,-0.78525,-0.24130,-0.53036 -0.09609,0.90911,0.42623
03/10/20 14:40:41.361042 0.21026,-0.78825,-0.23986,-0.52623 -0.09749,0.90422,0.42579
03/10/20 14:40:41.370468 0.21082,-0.79118,-0.23851,-0.52222 -0.10269,0.88630,0.42722
03/10/20 14:40:41.379906 0.21122,-0.79393,-0.23722,-0.51844 -0.11210,0.88062,0.42881
03/10/20 14:40:41.389339 0.21158,-0.79668,-0.23596,-0.51464 -0.15642,0.87933,0.44140
03/10/20 14:40:41.398788 0.21150,-0.79930,-0.23543,-0.51084 -0.04325,0.82853,0.45885
03/10/20 14:40:41.408703 0.21123,-0.80179,-0.23487,-0.50730 -0.02872,0.85890,0.47128
03/10/20 14:40:41.417900 0.21063,-0.80462,-0.23430,-0.50332 -0.04826,0.90210,0.45650
03/10/20 14:40:41.427334 0.20952,-0.80788,-0.23430,-0.49853 -0.03989,0.91053,0.45268
03/10/20 14:40:41.436783 0.20909,-0.81062,-0.23380,-0.49449 -0.03694,0.89507,0.46461
03/10/20 14:40:41.446220 0.20904,-0.81304,-0.23320,-0.49081 -0.02942,0.89104,0.46977
03/10/20 14:40:41.455666 0.20898,-0.81537,-0.23268,-0.48720 -0.02971,0.88729,0.46193
03/10/20 14:40:41.465580 0.20877,-0.81802,-0.23246,-0.48293 -0.04727,0.87887,0.46531
03/10/20 14:40:41.475029 0.20845,-0.82060,-0.23242,-0.47869 -0.08708,0.84352,0.44473
03/10/20 14:40:41.484226 0.20800,-0.82370,-0.23264,-0.47343 -0.11481,0.83147,0.43468
03/10/20 14:40:41.493683 0.20723,-0.82739,-0.23327,-0.46698 -0.14132,0.80760,0.41587
03/10/20 14:40:41.503132 0.20630,-0.83105,-0.23413,-0.46042 -0.15440,0.78054,0.42038
03/10/20 14:40:41.512588 0.20511,-0.83463,-0.23501,-0.45397 -0.15901,0.77526,0.42612
03/10/20 14:40:41.522507 0.20353,-0.83832,-0.23583,-0.44741 -0.14489,0.77811,0.43043
03/10/20 14:40:41.531967 0.20192,-0.84167,-0.23647,-0.44147 -0.15555,0.77458,0.43496
03/10/20 14:40:41.541416 0.20010,-0.84505,-0.23703,-0.43550 -0.12834,0.78813,0.44352
03/10/20 14:40:41.550877 0.19813,-0.84830,-0.23742,-0.42984 -0.10151,0.81082,0.43773
03/10/20 14:40:41.560074 0.19638,-0.85135,-0.23748,-0.42456 -0.11187,0.82186,0.43721
03/10/20 14:40:41.569527 0.19495,-0.85405,-0.23743,-0.41978 -0.10942,0.82892,0.43910
03/10/20 14:40:41.579441 0.19341,-0.85709,-0.23729,-0.41436 -0.11006,0.81165,0.44442
03/10/20 14:40:41.588886 0.19189,-0.86004,-0.23722,-0.40894 -0.10774,0.79999,0.46198
03/10/20 14:40:41.598328 0.19145,-0.86187,-0.23759,-0.40506 -0.10076,0.83558,0.44882
03/10/20 14:40:41.607777 0.19149,-0.86291,-0.23789,-0.40266 -0.08781,0.87085,0.44990
03/10/20 14:40:41.617210 0.19147,-0.86420,-0.23777,-0.39996 -0.09050,0.89032,0.45614
03/10/20 14:40:41.626644 0.19194,-0.86564,-0.23742,-0.39680 -0.10126,0.87378,0.44996
03/10/20 14:40:41.636295 0.19259,-0.86737,-0.23697,-0.39297 -0.10338,0.87531,0.43643
03/10/20 14:40:41.645737 0.19340,-0.86902,-0.23629,-0.38931 -0.11353,0.89221,0.43658
03/10/20 14:40:41.655170 0.19446,-0.87070,-0.23553,-0.38547 -0.12426,0.88537,0.43524
03/10/20 14:40:41.664604 0.19564,-0.87245,-0.23479,-0.38135 -0.13772,0.85712,0.41540
03/10/20 14:40:41.674034 0.19690,-0.87418,-0.23396,-0.37723 -0.14114,0.84570,0.42217
03/10/20 14:40:41.683476 0.19766,-0.87616,-0.23321,-0.37267 -0.14209,0.83557,0.42571
03/10/20 14:40:41.693394 0.19714,-0.87873,-0.23260,-0.36724 -0.13675,0.83477,0.41757
03/10/20 14:40:41.702843 0.19685,-0.88097,-0.23202,-0.36237 -0.12977,0.83191,0.43625
03/10/20 14:40:41.712025 0.19765,-0.88255,-0.23136,-0.35848 -0.12620,0.85510,0.45176
03/10/20 14:40:41.721458 0.19829,-0.88411,-0.23066,-0.35472 -0.11743,0.88641,0.44380
03/10/20 14:40:41.730888 0.19892,-0.88563,-0.22996,-0.35102 -0.11902,0.87531,0.44686
03/10/20 14:40:41.740326 0.19950,-0.88714,-0.22914,-0.34739 -0.12103,0.90111,0.43261
03/10/20 14:40:41.750240 0.19931,-0.88921,-0.22807,-0.34288 -0.12897,0.91473,0.42615
03/10/20 14:40:41.759678 0.19973,-0.89079,-0.22714,-0.33912 -0.12944,0.90439,0.42821
03/10/20 14:40:41.769108 0.20008,-0.89247,-0.22620,-0.33512 -0.13796,0.90995,0.43166
03/10/20 14:40:41.778545 0.19937,-0.89482,-0.22505,-0.32999 -0.16096,0.93704,0.42492
03/10/20 14:40:41.787727 0.19866,-0.89715,-0.22390,-0.32484 -0.17259,0.94060,0.41881
03/10/20 14:40:41.797165 0.19904,-0.89898,-0.22281,-0.32027 -0.15371,0.90261,0.41952
03/10/20 14:40:41.807064 0.19978,-0.90100,-0.22147,-0.31502 -0.12810,0.85716,0.43601
03/10/20 14:40:41.816498 0.19972,-0.90356,-0.22011,-0.30862 -0.11245,0.84033,0.44393
03/10/20 14:40:41.825920 0.19903,-0.90636,-0.21869,-0.30180 -0.10859,0.88999,0.42624
03/10/20 14:40:41.835361 0.19741,-0.90890,-0.21761,-0.29594 -0.09174,0.93070,0.42577
03/10/20 14:40:41.844788 0.19562,-0.91118,-0.21667,-0.29074 -0.07443,0.95475,0.44684
03/10/20 14:40:41.853970 0.19404,-0.91335,-0.21570,-0.28568 -0.06358,0.95869,0.45732
03/10/20 14:40:41.863857 0.19277,-0.91553,-0.21458,-0.28036 -0.05688,0.96272,0.46364
03/10/20 14:40:41.873283 0.19186,-0.91755,-0.21346,-0.27520 -0.07376,0.96031,0.45048
03/10/20 14:40:41.882698 0.19110,-0.91954,-0.21239,-0.26986 -0.09098,0.93384,0.43853
03/10/20 14:40:41.892124 0.19028,-0.92161,-0.21127,-0.26420 -0.11865,0.91466,0.44084
03/10/20 14:40:41.901531 0.18963,-0.92346,-0.21032,-0.25888 -0.12355,0.93820,0.42910
03/10/20 14:40:41.910954 0.18904,-0.92527,-0.20937,-0.25358 -0.13395,0.94008,0.41020
03/10/20 14:40:41.920841 0.18838,-0.92713,-0.20836,-0.24803 -0.13527,0.92843,0.40515
03/10/20 14:40:41.930012 0.18770,-0.92887,-0.20732,-0.24286 -0.13212,0.93028,0.39896
03/10/20 14:40:41.939426 0.18707,-0.93052,-0.20625,-0.23790 -0.14016,0.92484,0.40078
03/10/20 14:40:41.948845 0.18628,-0.93216,-0.20517,-0.23300 -0.12965,0.92600,0.40440
03/10/20 14:40:41.958252 0.18551,-0.93368,-0.20425,-0.22827 -0.09894,0.92746,0.41649
03/10/20 14:40:41.967670 0.18408,-0.93529,-0.20339,-0.22355 -0.06956,0.92305,0.41733
03/10/20 14:40:41.977562 0.18194,-0.93714,-0.20255,-0.21825 -0.04757,0.92505,0.40536
03/10/20 14:40:41.986992 0.17835,-0.93929,-0.20155,-0.21285 -0.05534,0.91894,0.40448
03/10/20 14:40:41.996407 0.17444,-0.94145,-0.20075,-0.20725 -0.06389,0.90396,0.40541
03/10/20 14:40:42.005592 0.17076,-0.94347,-0.20024,-0.20150 -0.09198,0.88976,0.39268
03/10/20 14:40:42.015011 0.16745,-0.94536,-0.20002,-0.19555 -0.12974,0.86473,0.39314
03/10/20 14:40:42.024445 0.16624,-0.94677,-0.20029,-0.18944 -0.17507,0.81848,0.38868
03/10/20 14:40:42.034351 0.16524,-0.94813,-0.20062,-0.18302 -0.21443,0.80948,0.38409
03/10/20 14:40:42.043793 0.16293,-0.94967,-0.20032,-0.17736 -0.24635,0.82984,0.39370
03/10/20 14:40:42.053223 0.16033,-0.95127,-0.19964,-0.17182 -0.25354,0.82580,0.39870
03/10/20 14:40:42.062672 0.15800,-0.95272,-0.19901,-0.16659 -0.24489,0.84864,0.40804
03/10/20 14:40:42.071869 0.15608,-0.95402,-0.19840,-0.16162 -0.26380,0.88680,0.42184
03/10/20 14:40:42.081326 0.15459,-0.95518,-0.19786,-0.15678 -0.27563,0.88378,0.42514
03/10/20 14:40:42.091248 0.15307,-0.95642,-0.19706,-0.15167 -0.28032,0.85905,0.43499
03/10/20 14:40:42.100700 0.15175,-0.95746,-0.19651,-0.14705 -0.27348,0.88117,0.44336
03/10/20 14:40:42.110142 0.15024,-0.95843,-0.19610,-0.14278 -0.25369,0.88020,0.45431
03/10/20 14:40:42.119587 0.14851,-0.95936,-0.19580,-0.13869 -0.23313,0.88315,0.45465
03/10/20 14:40:42.129025 0.14676,-0.96030,-0.19542,-0.13450 -0.24514,0.88428,0.45865
03/10/20 14:40:42.138950 0.14528,-0.96126,-0.19482,-0.13007 -0.26591,0.89711,0.45424
03/10/20 14:40:42.148392 0.14406,-0.96213,-0.19415,-0.12596 -0.27649,0.91322,0.45662
03/10/20 14:40:42.157593 0.14304,-0.96293,-0.19351,-0.12190 -0.29377,0.91420,0.45623
03/10/20 14:40:42.167027 0.14221,-0.96365,-0.19303,-0.11785 -0.30046,0.89876,0.45592
