# Data format: "%int(Month)/%int(Day)/%int(Year) %int(Hours):%int(Minutes):%float(Seconds) %float(OrientQuatX),%float(OrientQuatY),%float(OrientQuatZ),%float(OrientQuatW) %float(CorrectedAccelX),%float(CorrectedAccelY),%float(CorrectedAccelZ)"
03/10/20 14:40:37.879490 0.25088,-0.65488,-0.25682,-0.66501 -0.01844,0.78703,0.58504
03/10/20 14:40:37.889416 0.25327,-0.65444,-0.25859,-0.66385 -0.00794,0.77316,0.56984
03/10/20 14:40:37.898869 0.25529,-0.65402,-0.26017,-0.66287 0.00750,0.78252,0.57950
03/10/20 14:40:37.908314 0.25704,-0.65371,-0.26150,-0.66198 0.02633,0.76133,0.58523
03/10/20 14:40:37.917748 0.25868,-0.65355,-0.26253,-0.66109 0.01256,0.75562,0.58808
03/10/20 14:40:37.926945 0.26021,-0.65360,-0.26311,-0.66021 -0.00175,0.76264,0.58023
03/10/20 14:40:37.936394 0.26139,-0.65388,-0.26332,-0.65937 -0.02283,0.75588,0.57526
03/10/20 14:40:37.946312 0.26252,-0.65419,-0.26334,-0.65862 -0.01383,0.76015,0.58181
03/10/20 14:40:37.955753 0.26241,-0.65518,-0.26231,-0.65808 -0.01931,0.74413,0.56329
03/10/20 14:40:37.965176 0.26247,-0.65596,-0.26156,-0.65758 -0.01753,0.74520,0.57065
03/10/20 14:40:37.974602 0.26192,-0.65707,-0.26050,-0.65712 0.01660,0.73162,0.57596
03/10/20 14:40:37.984016 0.26106,-0.65836,-0.25939,-0.65660 0.01908,0.72731,0.58288
03/10/20 14:40:37.993439 0.26136,-0.65894,-0.25967,-0.65579 0.00317,0.76610,0.56811
03/10/20 14:40:38.003101 0.26115,-0.66012,-0.25961,-0.65471 -0.01189,0.78068,0.54028
03/10/20 14:40:38.012535 0.26098,-0.66121,-0.25971,-0.65364 -0.01056,0.81328,0.55080
03/10/20 14:40:38.021965 0.26062,-0.66231,-0.25981,-0.65262 -0.00234,0.84712,0.52830
03/10/20 14:40:38.031387 0.25924,-0.66425,-0.25893,-0.65156 0.01451,0.86662,0.53343
03/10/20 14:40:38.040810 0.25762,-0.66634,-0.25779,-0.65052 0.02253,0.89366,0.53018
03/10/20 14:40:38.050247 0.25631,-0.66820,-0.25679,-0.64952 0.03841,0.89311,0.53353
03/10/20 14:40:38.060154 0.25542,-0.66997,-0.25598,-0.64837 0.03606,0.87741,0.55632
03/10/20 14:40:38.069561 0.25462,-0.67181,-0.25497,-0.64717 0.01930,0.90841,0.57239
03/10/20 14:40:38.078728 0.25407,-0.67361,-0.25402,-0.64589 0.02280,0.91834,0.55555
03/10/20 14:40:38.088142 0.25388,-0.67540,-0.25332,-0.64437 -0.02270,0.90890,0.52664
03/10/20 14:40:38.097561 0.25375,-0.67723,-0.25287,-0.64267 -0.01368,0.91277,0.52926
03/10/20 14:40:38.106976 0.25348,-0.67891,-0.25266,-0.64108 -0.01440,0.90769,0.53767
03/10/20 14:40:38.116886 0.25298,-0.68074,-0.25280,-0.63928 -0.02315,0.91865,0.54009
03/10/20 14:40:38.126308 0.25268,-0.68221,-0.25337,-0.63761 -0.02967,0.88388,0.52740
03/10/20 14:40:38.135723 0.25327,-0.68259,-0.25518,-0.63625 -0.04364,0.84634,0.50692
03/10/20 14:40:38.145130 0.25349,-0.68298,-0.25672,-0.63512 -0.03694,0.82045,0.46971
03/10/20 14:40:38.154297 0.25395,-0.68251,-0.25881,-0.63460 -0.02946,0.81738,0.47609
03/10/20 14:40:38.163712 0.25445,-0.68191,-0.26004,-0.63454 -0.01669,0.84414,0.52965
03/10/20 14:40:38.173603 0.25525,-0.68069,-0.26144,-0.63494 0.05597,0.83746,0.54548
03/10/20 14:40:38.183014 0.25566,-0.68048,-0.26280,-0.63445 -0.03173,0.80019,0.48831
03/10/20 14:40:38.192432 0.25602,-0.68074,-0.26380,-0.63360 -0.03719,0.79836,0.50436
03/10/20 14:40:38.201832 0.25664,-0.68028,-0.26477,-0.63344 -0.04177,0.80879,0.49839
03/10/20 14:40:38.211250 0.25655,-0.68090,-0.26537,-0.63256 -0.05704,0.79030,0.49152
03/10/20 14:40:38.220409 0.25664,-0.68112,-0.26555,-0.63221 -0.04184,0.81049,0.49886
03/10/20 14:40:38.230312 0.25684,-0.68096,-0.26531,-0.63241 -0.02855,0.81606,0.51349
03/10/20 14:40:38.239731 0.25699,-0.68089,-0.26521,-0.63246 -0.03719,0.82533,0.49280
03/10/20 14:40:38.249161 0.25704,-0.68107,-0.26515,-0.63228 -0.02512,0.80666,0.49535
03/10/20 14:40:38.258579 0.25724,-0.68096,-0.26472,-0.63250 -0.03220,0.82710,0.49053
03/10/20 14:40:38.268013 0.25738,-0.68088,-0.26405,-0.63281 -0.03873,0.83934,0.50228
03/10/20 14:40:38.277912 0.25749,-0.68093,-0.26334,-0.63300 -0.05812,0.84687,0.49372
03/10/20 14:40:38.287334 0.25767,-0.68096,-0.26259,-0.63321 -0.06298,0.84236,0.49797
03/10/20 14:40:38.296490 0.25791,-0.68094,-0.26171,-0.63349 -0.06885,0.83988,0.49902
03/10/20 14:40:38.305897 0.25815,-0.68089,-0.26077,-0.63384 -0.06298,0.83700,0.49630
03/10/20 14:40:38.315296 0.25831,-0.68084,-0.25975,-0.63424 -0.06513,0.84436,0.49625
03/10/20 14:40:38.324711 0.25839,-0.68074,-0.25876,-0.63473 -0.06280,0.84333,0.49821
03/10/20 14:40:38.334595 0.25838,-0.68058,-0.25794,-0.63523 -0.06221,0.85124,0.49518
03/10/20 14:40:38.344006 0.25830,-0.68035,-0.25722,-0.63580 -0.04366,0.86830,0.50032
03/10/20 14:40:38.353413 0.25804,-0.68016,-0.25680,-0.63628 -0.02436,0.87356,0.50655
03/10/20 14:40:38.362823 0.25811,-0.67982,-0.25598,-0.63695 -0.02410,0.85685,0.50891
03/10/20 14:40:38.371979 0.25843,-0.67946,-0.25478,-0.63768 -0.04004,0.86981,0.49832
03/10/20 14:40:38.381386 0.25890,-0.67906,-0.25331,-0.63850 -0.04618,0.86277,0.50629
03/10/20 14:40:38.391270 0.25947,-0.67854,-0.25188,-0.63939 -0.05687,0.85460,0.50988
03/10/20 14:40:38.400688 0.26004,-0.67795,-0.25060,-0.64029 -0.06024,0.85273,0.51681
03/10/20 14:40:38.410103 0.26057,-0.67730,-0.24945,-0.64121 -0.06221,0.85020,0.52029
03/10/20 14:40:38.419525 0.26108,-0.67653,-0.24849,-0.64218 -0.04346,0.82045,0.52511
03/10/20 14:40:38.428936 0.26159,-0.67570,-0.24764,-0.64317 -0.03967,0.80689,0.52890
