timestamp,type,accel_x,accel_y,accel_z,heart_rate,lat,lon,vel_x,vel_y,vel_z,dis_x,dis_y,dis_z,mag_x,mag_y,mag_z
2020-02-19 16:24:40.040000,A,216,-460,1252,,,,35.86880304,-44.07971495199998,32.542387360000006,217.43065882271998,-171.51118494943992,13.429304963200002,,,
2020-02-19 16:24:40.080000,A,524,-512,1036,,,,36.074350424,-44.28055514399998,32.94877493600001,218.86541094432,-173.27437354751993,14.731000457600002,,,
2020-02-19 16:24:40.120000,A,688,-396,768,,,,36.344229432,-44.435892479999985,33.25003522400001,220.30838496127998,-175.04559575327994,16.04895145504,,,
2020-02-19 16:24:40.160000,A,320,-220,544,,,,36.469754552,-44.522190999999985,33.46342792800001,221.76215413856,-176.82303145247994,17.378952864000002,,,
2020-02-19 16:24:40.200000,A,-24,-328,604,,,,36.460340167999995,-44.65085424799999,33.700356592000006,223.22094432064,-178.60391909247994,18.717489981120004,,,
2020-02-19 16:24:40.240000,A,264,-456,620,,,,36.56389839199999,-44.82972754399999,33.943561512,224.67935792736,-180.38995326239993,20.065504244800003,,,
2020-02-19 16:24:40.280000,A,8,-404,684,,,,36.567036519999995,-44.988203007999985,34.211871456000004,226.14191386304,-182.18314236415992,21.423246705280004,,,
2020-02-19 16:24:40.320000,A,40,-432,672,,,,36.58272716,-45.15766191999999,34.475474208,227.60459532384002,-183.9826704844799,22.791721563520003,,,
2020-02-19 16:24:40.360000,A,92,-420,840,,,,36.618815632,-45.322413639999986,34.804977648000005,229.06790441024,-185.7889769612799,24.170740531840003,,,
2020-02-19 16:24:40.400000,A,136,-172,1120,,,,36.672163808,-45.38988339199999,35.244315568000005,230.53265703552,-187.6018735068799,25.562939637760003,,,
2020-02-19 16:24:40.440000,A,40,-236,1164,,,,36.687854448,-45.48245816799999,35.700913192,231.99954358784,-189.4174688425599,26.97271226048,,,
2020-02-19 16:24:40.480000,A,-44,-492,1140,,,,36.670594744000006,-45.67545303999999,36.148096432,233.46705776576002,-191.23676716927991,28.40074878816,,,
2020-02-19 16:24:40.520000,A,36,-292,1164,,,,36.68471632000001,-45.78999471199999,36.604694056,234.93388155552003,-193.0637852908799,29.84667264544,,,
2020-02-19 16:24:40.560000,A,72,-468,1116,,,,36.71295947200001,-45.973575199999985,37.042462912,236.40127020832003,-194.8953850793599,31.310860407680003,,,
2020-02-19 16:24:40.600000,A,120,-548,1032,,,,36.76003139200001,-46.18853696799999,37.447281423999996,237.86978858720002,-196.7343280873599,32.792558924160005,,,
2020-02-19 16:24:40.640000,A,164,-500,1064,,,,36.82436301600001,-46.38466996799999,37.864652447999994,239.34018984288002,-198.5818695660799,34.29045018112001,,,
2020-02-19 16:24:40.680000,A,252,-704,1024,,,,36.923214048000006,-46.66082523199999,38.266332831999996,240.81316436352003,-200.43725636479988,35.80503627904001,,,
2020-02-19 16:24:40.720000,A,424,-964,880,,,,37.089534832000005,-47.03896965599999,38.611526911999995,242.29009292544004,-202.30368937407988,37.33568959232001,,,
2020-02-19 16:24:40.760000,A,660,-480,760,,,,37.348430392000004,-47.227257335999994,38.90964907199999,243.77367431872003,-204.18524816031987,38.880150668800006,,,
2020-02-19 16:24:40.800000,A,336,-280,468,,,,37.480231768,-47.337091816,39.09322955999999,245.26761153440003,-206.07433845375988,40.436536631680006,,,
2020-02-19 16:24:40.840000,A,72,-336,532,,,,37.508474920000005,-47.468893191999996,39.30191507199999,246.76682080512003,-207.96782212639988,42.00026581408001,,,
2020-02-19 16:24:40.880000,A,144,-540,672,,,,37.56496122400001,-47.680716831999995,39.56551782399999,248.26715980192003,-209.86657785407988,43.57234241696001,,,
2020-02-19 16:24:40.920000,A,176,-648,592,,,,37.63400004000001,-47.934905199999996,39.79773929599999,249.76975825088002,-211.77380652735988,45.15496312992001,,,
2020-02-19 16:24:40.960000,A,56,-664,580,,,,37.65596693600001,-48.195369824,40.02525357599999,251.27511825248,-213.6912027353599,46.74687270176001,,,
2020-02-19 16:24:41,A,-28,-504,820,,,,37.644983488000015,-48.393071887999994,40.34691169599999,252.78135692992,-215.6190175283199,48.34788284480001,,,
2020-02-19 16:24:42,H,,,,103,,,,,,,,,,,
2020-02-19 16:24:42,M,,,,,,,,,,,,,223,-268,332
2020-02-19 16:24:41.040000,A,112,-376,1080,,,,37.68891728000001,-48.540563903999995,40.77055897599999,254.28715626944,-217.5547404038399,49.96175931264001,,,
2020-02-19 16:24:41.080000,A,96,-364,1180,,,,37.72657481600001,-48.683348728,41.233432855999986,255.79471296064,-219.4963629599999,51.59258167168001,,,
2020-02-19 16:24:41.120000,A,32,-388,1032,,,,37.73912732800001,-48.835547936,41.638251367999985,257.30377595328,-221.44369690911992,53.24191898592001,,,
2020-02-19 16:24:41.160000,A,36,-424,1060,,,,37.75324890400001,-49.00186872,42.05405332799999,258.8133410464,-223.39711882655993,54.90744904064001,,,
2020-02-19 16:24:41.200000,A,136,-468,1084,,,,37.80659708000001,-49.185449207999994,42.47926967199999,260.32347100256004,-225.35719357535993,56.58961117376001,,,
2020-02-19 16:24:41.240000,A,112,-524,1084,,,,37.85053087200001,-49.39099659199999,42.904486015999986,261.83573488576,-227.32461154367994,58.28878196064001,,,
2020-02-19 16:24:41.280000,A,84,-564,960,,,,37.88348121600001,-49.612234615999995,43.28106137599998,263.34975612064,-229.30025140735992,60.004961401280006,,,
2020-02-19 16:24:41.320000,A,392,-688,1032,,,,38.03724948800001,-49.88211362399999,43.68587988799998,264.86509536927997,-231.28474079199992,61.73620385632,,,
2020-02-19 16:24:41.360000,A,336,-848,1000,,,,38.169050864000006,-50.21475519199999,44.07814588799998,266.3865853488,-233.2800253369599,63.48363905184,,,
2020-02-19 16:24:41.400000,A,656,-476,940,,,,38.426377360000004,-50.40147380799999,44.44687592799998,267.91334738336,-235.2886155446399,65.24676488736,,,
2020-02-19 16:24:41.440000,A,432,-496,580,,,,38.59583627200001,-50.59603774399999,44.674390207999984,269.45040247776,-237.3046744969599,67.02463992448,,,
2020-02-19 16:24:41.480000,A,172,-392,408,,,,38.66330602400001,-50.749806015999994,44.834434735999984,270.99423592864,-239.3285160067199,68.8116155328,,,
2020-02-19 16:24:41.520000,A,152,-524,544,,,,38.72293045600001,-50.95535339999999,45.047827439999985,272.5407681696,-241.3585082473599,70.60499292224,,,
2020-02-19 16:24:41.560000,A,88,-504,660,,,,38.75744986400001,-51.15305546399999,45.306722999999984,274.08968538784,-243.3967223833599,72.40690601984,,,
2020-02-19 16:24:41.600000,A,108,-412,740,,,,38.79981459200001,-51.31466905599999,45.59699983999998,275.63998338240003,-245.4428446019199,74.21917493983999,,,
2020-02-19 16:24:41.640000,A,0,-416,1000,,,,38.79981459200001,-51.47785171199999,45.98926583999998,277.19197596608,-247.49543136415988,76.04305493343999,,,
2020-02-19 16:24:41.680000,A,52,-440,1028,,,,38.82021242400001,-51.65044875199999,46.39251528799998,278.74396854976,-249.55454543263988,77.88262556704,,,
2020-02-19 16:24:41.720000,A,4,-400,1056,,,,38.82178148800001,-51.807355151999985,46.80674818399998,280.29677704671997,-251.6205633827199,79.73832617855999,,,
2020-02-19 16:24:41.760000,A,-100,-372,1128,,,,38.782554888000014,-51.953278103999985,47.24922423199998,281.84964830623994,-253.69285758879988,81.61059610591998,,,
2020-02-19 16:24:41.800000,A,52,-384,1076,,,,38.802952720000015,-52.10390824799998,47.671302447999985,283.40095050175995,-255.77098871295988,83.50056507519999,,,
2020-02-19 16:24:41.840000,A,104,-576,1032,,,,38.843748384000016,-52.32985346399998,48.07612095999998,284.95306861055997,-257.8551450428799,85.40741717311998,,,
2020-02-19 16:24:41.880000,A,84,-456,976,,,,38.876698728000015,-52.50872675999998,48.45897257599999,286.50681854591994,-259.9483391814399,87.33046201151998,,,
2020-02-19 16:24:41.920000,A,124,-512,896,,,,38.92533971200002,-52.70956695199998,48.810442911999985,288.0618864950399,-262.0486882518399,89.26882091455998,,,
2020-02-19 16:24:41.960000,A,252,-696,984,,,,39.024190744000016,-52.98258408799998,49.196432655999985,289.6189000835199,-264.1570709299199,91.22123863103998,,,
2020-02-19 16:24:42,A,308,-1020,928,,,,39.14500867200002,-53.38269540799998,49.56045550399998,291.1798677132799,-266.27637429343986,93.18909593727999,,,
2020-02-19 16:24:43,H,,,,101,,,,,,,,,,,
2020-02-19 16:24:43,M,,,,,,,,,,,,,232,-235,279
2020-02-19 16:24:42.040000,A,664,-728,572,,,,39.40547329600002,-53.66826505599998,49.78483165599998,292.7456680601599,-268.41168210975985,95.17151415743999,,,
2020-02-19 16:24:42.080000,A,428,-648,568,,,,39.57336314400002,-53.92245342399998,50.00763874399998,294.3218869919999,-270.55841271199984,97.16290742367998,,,
2020-02-19 16:24:42.120000,A,172,-420,460,,,,39.64083289600002,-54.08720514399998,50.188081103999984,295.9048215177599,-272.71531084895986,99.16321297343998,,,
2020-02-19 16:24:42.160000,A,128,-408,488,,,,39.69104294400002,-54.24724967199998,50.37950691199998,297.4904548335999,-274.8787990547199,101.17073621759998,,,
2020-02-19 16:24:42.200000,A,148,-664,572,,,,39.749098312000015,-54.50771429599998,50.60388306399998,299.0780965513599,-277.04868904159986,103.18591649407998,,,
2020-02-19 16:24:42.240000,A,192,-956,596,,,,39.82441338400002,-54.882720591999984,50.83767359999998,300.6680604838399,-279.22899761343984,105.21007181663998,,,
2020-02-19 16:24:42.280000,A,48,-872,576,,,,39.843242152000016,-55.22477654399999,51.06361881599998,302.2610370191999,-281.42430643711987,107.24357876063998,,,
2020-02-19 16:24:42.320000,A,32,-716,780,,,,39.855794664000015,-55.50563899999999,51.36958629599998,303.85476670527987,-283.63329749887987,109.28612351327997,,,
2020-02-19 16:24:42.360000,A,120,-604,1112,,,,39.902866584000016,-55.742567663999985,51.80578608799998,305.44899849183986,-285.8535230588799,111.34090696511997,,,
2020-02-19 16:24:42.400000,A,28,-512,1120,,,,39.91385003200001,-55.943407855999986,52.245124007999976,307.0451131551999,-288.08322576543986,113.41313840863997,,,
2020-02-19 16:24:42.440000,A,104,-552,848,,,,39.954645696000014,-56.15993868799998,52.577765575999976,308.6416671564799,-290.3209620796799,115.50294336895996,,,
2020-02-19 16:24:42.480000,A,188,-672,988,,,,40.028391704000015,-56.42354143999998,52.96532438399998,310.2398529843199,-292.5673596271999,117.60605399199996,,,
2020-02-19 16:24:42.520000,A,168,-604,1016,,,,40.094292392000014,-56.66047010399998,53.363866639999976,311.8409886524799,-294.8243012847999,119.72466696735995,,,
2020-02-19 16:24:42.560000,A,160,-576,892,,,,40.15705495200002,-56.886415319999976,53.71376791199997,313.4447603481599,-297.0907200889599,121.85922163295994,,,
2020-02-19 16:24:42.600000,A,368,-872,888,,,,40.301408840000015,-57.22847127199998,54.062100119999975,315.0510425462399,-299.3661767017599,124.00777234943995,,,
2020-02-19 16:24:42.640000,A,312,-912,968,,,,40.42379583200002,-57.58621786399998,54.441813607999975,316.6630988998399,-301.65531555263993,126.17025635423994,,,
2020-02-19 16:24:42.680000,A,604,-720,840,,,,40.660724496000014,-57.86864938399998,54.77131704799998,318.2800507331199,-303.9587642671999,128.34792889855993,,,
2020-02-19 16:24:42.720000,A,664,-536,680,,,,40.921189120000015,-58.07890395999998,55.03805792799998,319.9064797129599,-306.2735102425599,130.53878158047993,,,
2020-02-19 16:24:42.760000,A,192,-612,456,,,,40.99650419200002,-58.31897075199998,55.21693122399998,321.5433272777599,-308.5966664009599,132.74030389759994,,,
2020-02-19 16:24:42.800000,A,80,-420,404,,,,41.027885472000015,-58.483722471999975,55.37540668799998,323.1831874454399,-310.92942523103994,134.94898114655993,,,
2020-02-19 16:24:42.840000,A,72,-416,528,,,,41.05612862400002,-58.64690512799997,55.58252313599998,324.8243028643199,-313.26877412991996,137.16399741407992,,,
2020-02-19 16:24:42.880000,A,24,-780,380,,,,41.06554300800002,-58.95287260799997,55.73158421599998,326.4665480092799,-315.61465033504,139.3872983395199,,,
2020-02-19 16:24:42.920000,A,48,-788,464,,,,41.08437177600002,-59.261978215999974,55.91359563999998,328.1091697295999,-317.97276523936,141.6165617081599,,,
2020-02-19 16:24:42.960000,A,76,-528,760,,,,41.11418399200002,-59.469094663999975,56.21171779999998,329.7525446006399,-320.343244368,143.8531055337599,,,
2020-02-19 16:24:43,A,184,-504,1024,,,,41.18636093600002,-59.66679672799997,56.61339818399998,331.39711196031993,-322.72200815456,146.1015742457599,,,
2020-02-19 16:24:44,H,,,,100,,,,,,,,,,,
2020-02-19 16:24:44,M,,,,,,,,,,,,,176,-277,365
2020-02-19 16:24:43.040000,A,72,-760,1056,,,,41.21460408800002,-59.96491888799997,57.027631079999985,333.0445663977599,-325.10868002368,148.3661101731199,,,
2020-02-19 16:24:43.080000,A,-4,-592,1004,,,,41.21303502400002,-60.19714035999997,57.421466143999986,334.69315056127994,-327.50727677919997,150.64721541631988,,,
2020-02-19 16:24:43.120000,A,84,-536,1040,,,,41.24598536800002,-60.40739493599997,57.82942278399999,336.34167196223996,-329.9151623936,152.9440740620799,,,
2020-02-19 16:24:43.160000,A,116,-752,972,,,,41.29148822400002,-60.70237896799997,58.21070533599999,337.99151137696,-332.33145819104,155.25725097343988,,,
2020-02-19 16:24:43.200000,A,208,-640,960,,,,41.37307955200002,-60.95342920799997,58.587280695999986,339.64317090592,-334.75955334976,157.58567918687987,,,
2020-02-19 16:24:43.240000,A,256,-608,900,,,,41.47349964800002,-61.191926935999966,58.94032009599999,341.29809408799997,-337.19769051808,159.92917041471986,,,
2020-02-19 16:24:43.280000,A,252,-640,972,,,,41.57235068000002,-61.442977175999964,59.32160264799999,342.95703407392,-339.64536759552,162.28678321855986,,,
2020-02-19 16:24:43.320000,A,408,-796,944,,,,41.73239520800002,-61.75522091199996,59.691901751999985,344.61992810112,-342.10308668256,164.65964732447986,,,
2020-02-19 16:24:43.360000,A,616,-676,824,,,,41.97403106400002,-62.02039272799996,60.01512893599998,346.28922390944,-344.57329551904,167.04732339455987,,,
2020-02-19 16:24:43.400000,A,692,-332,648,,,,42.24547913600002,-62.15062503999996,60.26931730399998,347.968185152,-347.05411122816,169.44792855199987,,,
2020-02-19 16:24:43.440000,A,176,-468,388,,,,42.314517952000024,-62.334205527999956,60.42151651199998,349.65800431744,-349.54013622976004,171.85870124415987,,,
2020-02-19 16:24:43.480000,A,52,-508,448,,,,42.334915784000025,-62.533476655999955,60.597251679999985,351.35058503552,-352.03350445088006,174.2755619046399,,,
2020-02-19 16:24:43.520000,A,104,-568,524,,,,42.375711448000025,-62.75628374399996,60.802799063999984,353.04398166688,-354.53484351712007,176.6994519718399,,,
2020-02-19 16:24:43.560000,A,216,-568,592,,,,42.46044090400002,-62.97909083199996,61.03502053599998,354.73901012479996,-357.04509486688005,179.13156393439988,,,
2020-02-19 16:24:43.600000,A,136,-604,696,,,,42.51378908000002,-63.21601949599996,61.30803767199998,356.43742776095996,-359.56425850016007,181.57296475583988,,,
2020-02-19 16:24:43.640000,A,128,-624,920,,,,42.56399912800002,-63.46079347999996,61.668922391999985,358.13797932415997,-362.09289928000004,184.02528626271987,,,
2020-02-19 16:24:43.680000,A,188,-548,1148,,,,42.63774513600002,-63.67575524799996,62.11924375999998,359.84053928927995,-364.63133101920005,186.49204315839987,,,
2020-02-19 16:24:43.720000,A,28,-548,1060,,,,42.64872858400002,-63.89071701599996,62.535045719999985,361.54604909471993,-367.17836122912007,188.97681290879987,,,
2020-02-19 16:24:43.760000,A,164,-596,904,,,,42.713060208000016,-64.12450755199995,62.88965418399999,363.2519982380799,-369.73398990976006,191.47821473759987,,,
2020-02-19 16:24:43.800000,A,356,-688,980,,,,42.852706904000016,-64.39438655999996,63.274074863999985,364.9605206463999,-372.29897021184007,193.99380090495987,,,
